"city","description","neighbourhood_cleansed"
"London","🌿 Stylish 2-Bedroom Garden Flat | Sleeps 6 | Near Brixton & Tulse Hill<br /><br />Enjoy comfort, convenience, and space in this beautifully refurbished 2-bedroom garden flat, just 10 minutes from Brixton. Perfect for families, business travelers, contractors, or groups, this central South London property offers a stylish interior, great transport links, and a private garden for outdoor relaxation.<br /><br />📝PLEASE READ THE HOUSE RULES PRIOR BOOKING","Lambeth"
"London","A cosy apartment ideally suited for travellers interested in seeing local and Central London sites.<br /><br />A 4 min walk from Tottenham Hale station and conveniently located across the road from the local retail park <br /><br />Perfect for guests who need a private, low cost and clean accommodation close to Central London.<br /><br />This apartment suits a couple or 4 fun loving friends who love the being out more than in, and want a space to lay their heads down for the night<br /> <br />Any questions, please message us","Haringey"
"London","Welcome to Your Private Mayfair Retreat <br /><br />Nestled in one of London’s most prestigious neighborhoods, this expansive 3-bedroom apartment blends timeless style with modern comfort. Perfect for families, professionals, or friends, you'll enjoy a peaceful stay with Oxford Street, Soho, and Bond Street Station just a 5-minute stroll away.","Westminster"
"London","A luxurious and modern 2 bedroom apartment situated at the O2 Arena is everything you need whether you're visiting London for business or pleasure. It has a beautifully designed open-plan kitchen, living area, spacious balcony with an amazing view, One en-suite bedroom and a second bedroom. 3 mins walk to the O2 Arena and 1 min walk to the Emirate Cable Car N Uber Boat,  its provides an excellent means to all of London. This special place is close to everything, making it easy to plan your visit","Greenwich"
"London","Lovely single or double room (single bed pictured pulls out into a large double) in Crystal Palace. Room is in a two bed flat right next to the Crystal Palace “triangle”. Shops, pubs and restaurants very nearby, 7 min walk from Gipsy Hill station, 30min from central London.","Lambeth"
"London","Spacious modern double room on iconic Dalston Lane, windows facing a quiet green backyard, 2 minutes from an Overground station (only 10 minutes to Liverpool St station). The house is a re-purposed academy building with its unique character. Read below for special local tips on what to do in the area! <br /><br />*PROMOTION* The price is 20% less because the bed is getting a new frame, so there is only a mattress now. Just as comfortable and gives a bohemian look :)","Hackney"
"London","Welcome to our elegant Grade II listed Georgian townhouse, your serene London retreat. 🏛️<br /><br />Discover a perfect blend of historic charm and modern comfort in an unbeatable location.<br /><br />📍 Central Victoria/Pimlico Location<br />✨ 7-min walk to Victoria Station<br />🚆 Tube, Rail & Coach Hub<br />✈️ Effortless airport connections<br /><br />Your ideal base for exploring the capital with grace and ease. We look forward to hosting you!","Westminster"
"London","This spacious apartment in Dalston is ideal for anyone looking to stay in a vibrant, well-connected area. You’ll find plenty of room to relax, plus all the high-quality amenities you need for a comfortable stay. The location is excellent — with easy access to local shops, restaurants, and transport. I’ve made sure to keep everything in great condition, so you can enjoy a hassle-free experience. It’s a great choice for both short and long stays.","Hackney"
"London","A room with breathtaking views of the river in a modern building. It is safe (24 hour security), modern, and clean. The flat has 2 double bed rooms & two bathrooms, located on the 3 floor, facing west with warm afternoon sun streaming in everyday. <br /><br />Premium listing for an affordable price!!","Greenwich"
"London","2 bedroom Penthouse Flat unique to my listings!<br />Situated on the top floor with an elevator & nice views!<br /><br />Modern clean 2 bedroom flat in the heart of highly desirable Shoreditch Triangle.<br /><br />On the doorstep of some of London's best nightlife, private flat with separate bedrooms. Superfast WIFI, double glazed windows, stained oak wooden floors, fully tiled private shower room, high gloss fitted private kitchen; including a full size fridge & freezer, dishwasher, washer, dryer, microwave, TV etc","Hackney"
