"city","description","neighbourhood_cleansed"
"Melbourne","This unique place has a style all its own.","Port Phillip"
"Melbourne","This spacious and modern 2 bedroom suite boasts breathtaking views of the surrounding mountains and rolling hills, creating a tranquil and serene atmosphere for guests to enjoy. The suite is equipped with all the modern amenities, including two bedrooms - both with queen sized beds, full bathroom, kitchenette, lounge area, and outdoor deck area.<br />When you book our guest suite the price is for both rooms (3 or 4 people max).","Yarra Ranges"
"Melbourne","Your family will be close to everything when you stay at this centrally located place.<br /><br />Previous guests love our apartment as it is perfectly located with walking distance to the CBD, Melbourne University, close to tourist attractions, shopping, cafes, restaurants, public transport.","Melbourne"
"Melbourne","Continental Breakfast included. <br /><br />A refurbished and spacious retreat boasting a gorgeous upstairs loft with contemporary king bedroom and balcony, double spa and separate bathroom and WIR. Downstairs is reminiscent of a gentleman’s lounge. Guests enter into the lounge with stone gas log fireplace, polished floor boards and period timber panelling adjacent to the kitchen and dining room.<br /><br />Weekly discount or longer stay(7+ days) does not include breakfast.","Yarra Ranges"
"Melbourne","Forget your worries in this spacious and serene space. With cozy, well-maintained interiors, you'll enjoy a fresh and inviting space. Our 3-bedroom home features two spacious living areas, perfect for relaxing or entertaining, and a quiet reading room for those who want some downtime. With three bathrooms, there’s plenty of space for everyone. We pride ourselves on creating a welcoming atmosphere and making sure our guests feel right at home from the moment they arrive.","Banyule"
"Melbourne","Discover this spacious three-bedroom, two-bathroom apartment in the heart of Southbank. Perfect for families or groups, it features three comfortable queen bedrooms and a stylish living area. Enjoy stunning balcony views while soaking up the vibrant atmosphere of the neighborhood. Discover unparalleled city convenience with this apartment! With a tram stop at the front door and Crown Entertainment Complex just steps away, enjoy effortless access to the Yarra River, Flinders Street Station, Marve","Melbourne"
"Melbourne","It is in a quiet safe court so there is not.much traffic","Casey"
"Melbourne","Welcome to your Melbourne Home <br /><br />5 Queen Beds* Free Unlimited Wifi * Indoor Heated pool * Gym * Access to the best local knowledge* Fully Equipped Kitchen* Supermarket next door* Beds like Clouds* Walking Distance to the Convention centre / CBD / Federation square / Tennis/ Footy/Markets*","Melbourne"
"Melbourne","Keep it simple at this peaceful and centrally located place.","Melbourne"
"Melbourne","This delightful two-bedroom apartment located in the prime Flinders Street precinct offers the perfect balance of convenience, comfort and style. It boasts a generously sized living and dining area, a fully-equipped kitchen and laundry, to make the most of city living. Whether you're looking to dine out in one of Melbourne's finest restaurants, explore its culture and history, or soak up the urban buzz, Flinders Street has it all. Come join the party and revel in an unparalleled city experience.","Melbourne"
"Melbourne","Urban In The Sky Melbourne 🇦🇺<br /><br />✨ Swanston Central | 3BR 2 Bath | Sleeps 8 ✨<br /><br />🌇 49th Floor<br /><br />📍 160 Victoria St, Carlton VIC 3053<br /><br />🚉 5-min walk to Queen Victoria Market<br /><br />🚋 Free Tram Zone<br /><br />🅿️ Two free secure carpark <br /><br />Features include:<br />☕ Nespresso coffee machine<br />📺 Smart TV with Netflix<br />📶 Fast Wi-Fi<br />🧺 Washer & dryer<br />🍳 Kitchen with cooking utensils and pots<br /><br />🏢 We manage 46 units in the same building — perfect for groups<br /><br />📲 airbnb.com.au/p/urbaninthesky","Melbourne"
"Melbourne","This house is located in a prime location in Frankston next to Karingal Hub<br /><br />The room is a guest room that is intended for AirBnb only and has a queen size bed<br />This is a Quiet Shared House and has lovely people living in it<br />The bathroom will be shared with 2 other people<br />It has a shower and a big nice bathtub that you'll love if you want to relax<br />The price is fair and it is available for people who don't want to pay a high price for a hotel hence the very affordable price<br />*NB: NOT A PARTY HOUSE*","Frankston"
"Melbourne","Enjoy a stylish experience at this centrally located 2 bedroom apartment within walking distance 3mins to Footscrsay market delicious restaurants and eateries, supermarkets, department stores & walking 4mins to Footscrsay train station, bus stops in front of the house, plenty free off-street parkings. This is extremely rare location suitable for family, students visiting Melbourne without driving cars 🚘","Maribyrnong"
"Melbourne","Walk distance to shops, cafes, restaurants, esplanade, beach, park, supermarket, golf club, etc. <br />20 mins drive to the City.<br />24 mins to Melbourne Airport.<br />7 mins walk to Westona station, 30 mins to the city. <br />6 mins drive to ERGT, suitable for those who come for oil & gas, offshore training.","Hobsons Bay"
"Melbourne","My place is close to the Bonbeach Train station & the Beach. You’ll love my place because of the water views, the location & the ambiance. My place is good for solo adventurers, business travellers, and furry friends (pets).","Kingston"
"Melbourne","A fully self-contained apartment with its own access.<br />A separate bedroom, king bed and ensuite bathroom.  Spacious living area and fully equipped kitchen.  Outdoor covered patio with BBQ and outdoor seating.  <br /><br />A free continental breakfast is included.<br /><br />Positioned within a 10-minute walk to Berwick Train Station and a 15-<br />minute walk to Berwick high street, this is a centrally located place.","Casey"
"Melbourne","Light, bright and spacious twin share Master bedroom available for rent in this fully furnished Three bedroom period style home. The room is $55 per night for a private room in a friendly and quiet share house.<br />This gorgeous St. Kilda property is only a 6 minute walk to Chapel st shopping precinct sporting its famous restaurants, nightlife, bars, cafes and shops, 15 minute drive into the CBD, 15 minutes into st.kildas iconic beaches.","Port Phillip"
"Melbourne","Located in hip Brunswick, our beautiful home is filled with books, leafy plants and creative energy. We are close to cafes, restaurants & bars, swimming pool, green parks, and the famous Melbourne Zoo. Our home is super close to public transport so getting around is easy. We look forward to having you stay with us!","Moreland"
"Melbourne","You’ll love my place because of the location. Right in the heart of Moonee Ponds.  Plenty of places to eat and shop.  Close to public transport (trains, trams and buses).  Walking distance to Moonee Valley and a short uber trip to Flemington Racetracks.  <br />11 km from Melbourne Airport (10 minutes if no traffic)","Moonee Valley"
"Melbourne","Make yourself at home in one of the air-conditioned apartment kitchen and Living room. 55-inch LCD televisions provide entertainment, while complimentary wireless internet access keeps you connected. Private bathroom with showers feature rainfall showerheads and complimentary toiletries. Conveniences include living room, balcony and kitchen.<br />Be sure to enjoy recreational amenities including an outdoor pool and a fitness center.","Melbourne"
"Melbourne","Our place is close to Melbourne Zoo and relatively close to the CBD. You’ll love our place because of the beautiful sunsets as we're facing the west with floor to ceiling windows. Flemington Bridge station is 5min walk and a tram stop just in front of the building that also takes you right onto Elizabeth st in the CBD. We are sure you will find our beautiful little home very cosy. Our place is good for couples, solo adventurers, business travellers, families (with kids), and big groups.","Melbourne"
"Melbourne","Offering a garden and a city view, Sweet Home Apartment North Melbourne is located in the inner suburb of Melbourne. The apartment is 2.8km from Melbourne Zoo, 2.8km from Melbourne Central Station and approximately 2km away from Melbourne University. <br /><br />A bus stop is located opposite the apartment, while the closest tram and train station are 400m away, 5 minutes on foot. <br /><br />A supermarket (Woolworth), post office, liquor store, pharmacy and a Japanese restaurant are located on the Ground floor.","Melbourne"
"Melbourne","Our studio located in the end of a “no-through street”, with a private entrance and yard. <br /><br />One parking lot is available on our driveway, under a security camera. FREE off street parking is also available, unlimited time.<br /><br />The place is only 1km from Westfield Fountain Gate Shopping Centre where you can find almost everything you need.","Casey"
"Melbourne","Newly renovated Edwardian house, has a verandah out the front and deck at the back with car space. Spacious, open plan kitchen/living room and large bathroom with each bedroom containing a queen size bed. Location is right beside sporting precinct, Swan and Church Streets, Yarra river,  and transport facilities.","Yarra"
"Melbourne","Enjoy this modern 4-bedroom family home backing onto a peaceful 600-acre reserve. The master features a queen bed, ensuite, and large bath. Bedroom one has bunk beds, bedrooms two and three have single beds. The retreat lounge includes a fold-out queen bed. Two powder rooms plus a quiet study nook for work or school. Cook in the fully equipped kitchen, relax in open living with bush views, and step outside to your private backyard with reserve access. Perfect for families or groups.","Frankston"
"Melbourne","Our fully accessible apartment is located just a stones throw from the Casino. Two bedrooms, one fully wheelchair accessible (ceiling hoist as well as a back up portable hoist). Although fully modified for those living with disability and the frail, our apartment would suit anyone looking for a great getaway in a perfect location. A wide range of mobility equipment, disability support workers and a wheelchair accessible vehicle is available at additional cost.","Melbourne"
"Melbourne","Hello<br /><br />Welcome to our small, but cozy place.<br /><br />We offer you a nice flat in a nice location.<br /><br />You will have all the necessaries for the hygiene stuffs such as hand soap, body soap, shampoo, and off course, hot water.<br /><br />Our kitchen has all what you need for cooking and eating.<br /><br />The location is great as it is not on the main road, so it is quite quiet. But there are shops at only 5 minutes walk such as Coles, Kmart, IKEA, others small shops and a food court.","Yarra"
"Melbourne","Bank Place offers a quiet spot in the bustle of central Melbourne. Surrounded by ambient wine bars, cafes, and even an old-fashioned tavern, this heritage building is a unique and convenient place for your stay.","Melbourne"
"Melbourne","Entire 2 bedroom home, a modern artists retreat in the quaint suburb of Surrey Hills Melbourne. Located 6 minutes walk from a zone one train station, you can travel to the city in under 30 minutes. Perfect for couples, business travellers and small families. Updated bathroom and kitchen, heating and air con in every room. Walk everywhere - parkland, great coffee, organic food store, supermarket, pharmacy, doctors, post office, trains. 24hr gym is 30 seconds away. Free parking for up to two cars.","Boroondara"
"Melbourne","This ground floor, two bedroom apartment has had no expense spared with the highest of quality renovation throughout.<br /><br />Reverse cycle heating and cooling<br />Gas log fire<br />Built in TV<br />Two pac kitchen with gas stove electric oven, integrated dishwasher<br />Remote block out blinds <br />Underground cellar and external sub floor access storage<br />Single garage<br />Additional car space<br />Delightful garden outlook<br /><br />All a short walk to Burke Rd shops, cafes & restaurants, tram, Auburn & Camberwell Train stations, local pubs.","Boroondara"
"Melbourne","Indulge in a delightful family retreat at our elegantly designed residence. Boasting four spacious bedrooms complemented by a dedicated study with full luxury setup, our home is the sanctuary which provides comfort and functionality. Nestled in a tranquil neighbourhood, the expansive front and side gardens offer a serene oasis where you can relax. Nearby you can find great culinary options whether it's a morning coffee, afternoon reads, or impromptu picnics.","Whitehorse"
"Melbourne","This One Bedroom Apartment is your perfect home away from home, with a separate bedroom, living area and private bathroom. Each air conditioned apartment will entice guests with a fully equipped kitchen, including stainless steel appliances, washer and dryer for your longer stays. Relax on your private balcony or in front of your flat-screen TV. Start your day with complimentary coffee and tea. Emerse yourself in the modern, walk in shower with free toiletries provided.","Port Phillip"
"Melbourne","After a busy day of meetings or exploring the local sights, unwind in one of our many one- or two-bedrooms, each tailored to suit the modern traveler. Our stylish rooms are equipped with all your essential needs to ensure you are well rested and have a pleasant stay.","Whitehorse"
"Melbourne","Indulge in the ultimate beachside getaway at this luxurious Sandringham retreat. <br /><br />With six beds, three separate bathrooms, and a prime location directly opposite Sandringham Beach, every aspect of relaxation and comfort has been thoughtfully crafted. <br /><br />Lounge by the resort-style heated pool or bask in the breathtaking ocean views. <br /><br />This holiday haven boasts spacious entertaining areas, a well-equipped kitchen, and panoramic vistas from the wrap-around balcony.","Bayside"
"Melbourne","Treat yourself to a stay at this beautiful apartment and enjoy the amazing views of the city . Rest in a comfortable Queen size bed, and take your time and relax in our swimming pool, sauna or gym. All this in the CBD,heart of Melbourne.","Melbourne"
"Melbourne","Situated a short walk from the beautiful green spaces of Fawkner Park, Albert Park Lake and Royal Botanical Gardens. The city tram stop is right out front on your doorstep, and you're only a 3km tram ride to the CBD for amazing shopping, Melbourne's famous laneway coffee precincts and the world class dining that make Melbourne Australia's food capital. Also in close proximity to the Australian Formula 1 Grand Prix, a 10 minute walk to Gate 8.","Port Phillip"
"Melbourne","Located in the Melbourne CBD, cozy home living on a high floor, overlooking Southbank and Yarra River. <br /><br />Max occupancy is 5 guests.<br />2x  Queen bed. <br />1x  Day bed.","Melbourne"
"Melbourne","Our apartment is conveniently located. There is the Victoria Market around 200 meters. Next to the Melbourne central station. Close to the most famous library. RMIT University<br /><br />My apartment no provide any food . Tv . Car park . basic equipment only :)  one point : free WiFi <br /><br />Suitable for short-term rentals","Melbourne"
"Melbourne","Lovely light-filled Art Deco house located in the vibrant precinct of East St Kilda, 5 minutes walk from the train. Tram and bus just outside the front door (no need for a car to get anywhere in Melbourne). 10 minutes on the tram from Luna Park and St Kilda beach.<br /><br />We are a household of young professionals who welcome guests. Polished wooden floors, living room, sunlight kitchen, very comfortable and well equipped for an individual or couple.","Glen Eira"
"Melbourne","This house is owned by Australian-Chinese family, which has more than 900 square meters, close to the golf course, located in a very quiet area. You can take the bus to Mentone train station, Cheltenham, Springvale train station. You can also go to the Woolworth shopping center. We are very happy to be the host and welcome people from all over the world. If you are interested in this place, you can contact me","Kingston"
"Melbourne","Immerse yourself in the vibrant Richmond atmosphere in this comfy 2-bed apartment by the local shops. Featuring sleek and cosy interiors this modern property offers a pristine base to explore the city. Situated a short distance from the Victoria Gardens shopping centre, the Yarra River trail and local parks, relish in the bustling local atmosphere complete with abundant public transport into the city. For those wanting to experience everything Melbourne has to offer, look no further.","Yarra"
"Melbourne","Welcome, My home is located in St Alban west of Melbourne, Victoria. Approx 25km from the CBD. My home is 400m  from the train station 25 min ride into the city. The supermarket is 200 metres from home. There is many restaurants for you to choose from , if dont feel like cooking.<br />I will do my very best to make your stay a comfortable stay. Thank you,","Brimbank"
"Melbourne","We have a lovely recently renovated family home in a cul de sac approx 5 kms from the beach and Mt Eliza Village where there are cafes and shops. Also close to wineries and parks. Pool, trampoline and car available for additional $100 p week.","Frankston"
"Melbourne","Nestled in the heart of South Yarra, this 1-bedroom luxury apartment is a masterpiece of sophistication. The seamless design connects to a generous balcony with sweeping city views. Premium finishes grace the interior, complemented by a sleek kitchen with modern appliances. Exclusive facilities include a sparkling pool, spa, sauna, gym, and tennis court. South Yarra's upscale dining and vibrant nightlife are at your doorstep. Welcome to your haven of luxury in Melbourne's coveted South Yarra.","Stonnington"
"Melbourne","This massive 9 bedrooms house located in Williams Landing, southwestern of Melbourne, half an hour to both airports, 25mins to Melbourne CBD, local shopping center and the train station is within walking distance, 100 meters to Sports ground and park, M1 highway is one minute away, direct to Great Ocean Road. This house is in a great location, convenient to all amenities and transportation.","Wyndham"
"Melbourne","Enjoy a stylish experience at this centrally located place.","Moonee Valley"
"Melbourne","Wake up in your own native Australian Eucalytpus forest.<br /><br />WARRANDYTE RETREAT <br />EV charging now available<br /><br />FOR SEPTEMBER ONLY <br />Book Friday and Saturday nights <br />And get Sunday night FREE<br /><br />Escape to our new 2020-built designer Apartment, and experience Warrandyte's tranquility and views  - continental breakfast included of course - with your own private viewing deck.","Nillumbik"
"Melbourne","You’ll love my place because of the apartment is brand new and finished with high-quality fixtures, fittings, and high-end appliances including granite bench tops in kitchen and bathrooms, high-end Gaggenau cooktop, oven and dishwasher and soft closing drawers. All furniture and bedding are of high quality. <br /><br />It includes,<br />Kitchen pantry with a fridge, microwave, pots/pans, cutlery<br />Hand towels<br />Laundry with a washer<br />Heating and air conditioning<br />55"" LED TV<br />FREE NBN WI-FI<br />24/7 paid carpark","Melbourne"
"Melbourne","This family apartment and I am travelling to Sydney for 1 week and interested to rent for max of 7 days","Moreland"
"Melbourne","This shop front studio unit located 17 minutes from the airport and 5km from the CBD with 58 trams at doorstep surrounded by cafes, it is a basic room, No TV, No window.<br /><br />Because there is tram pass the unit, if you are sensitive to noise please bring your ear plug.<br />1 Double bed  suite max 2 people, short stay up to maximum 5 nights.<br /><br />Please keep bathroom floor dry. Thank you.","Moreland"
"Melbourne","6 Km from city, travel time 15-20 minutes by tram or train. Trams, Routes 70 or 75 are at the door. Train 5 min walk. Supermarkets, cafes, restaurants all close by. Beautiful quiet outlook over park and river. Many walking paths. Burnley Gardens, 25 acres, across the river. Secure locked parking for 2 vehicles. AUD$15 per vehicle per day.","Boroondara"
"Melbourne","Relax with the whole family at this peaceful place to stay. very close to Melbourne city and the Tullamarine international air port.","Hume"
"Melbourne","• Spacious formal lounge featuring with an adjoining dining zone which leads out to an outdoor pergola area with timber decking leaving plenty of room<br />• Central bathroom with bathtub and quality fittings<br />• Features include gas ducted heating, evaporative cooling, alarm system<br />• This standout residence is located within a close proximity to shops (CS Square), schools, parklands, transport facilities and is sure not to last long.","Melton"
"Melbourne","Unpretentious comfort in the heart of melbourne.<br /><br />Swimming pool and gym：<br />located on the 9th floor (Pool size Approx. 15m x 5m) <br /><br />NO complimentary Parking: <br />overnight parking is available at Crown casino “Multi level car park” 2 minutes walk away behind the apartment.<br />Please search and book online<br /><br />2 bedroom apartment on the 41st floor with a city view and central location right outside Melbourne city centre.<br /><br />Beds are Queen sized<br /><br />“The cloakroom” sky bar located on the 46th floor.","Melbourne"
"Melbourne","Urban Oasis | Stunning City Views | Prime Location<br /><br />Elevate your Melbourne stay in this luxurious 2-bedroom, 2-bathroom apartment. Immerse yourself in breathtaking city skyline views from the comfort of your private balcony.<br /><br />Perfect for:<br /><br />✅ Couples seeking a romantic getaway<br />✅ Families exploring the city<br />✅ Business travelers needing a stylish and convenient base","Melbourne"
"Melbourne","Enjoy a stay at this stunning South Melbourne apartment with panoramic bay views. Located next to the 109 tram line and just a 10 minute walk from the infamous South Melbourne Market, and 20 minute walk from Port Melbourne Beach or Southbank/CBD, this is the ideal spot to enjoy the best of Melbourne.","Port Phillip"
"Melbourne","🔸Double room room: The double room is a double bed, including a wall-type wardrobe, chair, etc., including water, electricity, coal, and unlimited Internet access. <br /><br />Detailed introduction: Near Monash University, Hungtingdale and Monash medical center, there is a free shuttle bus to Monash.Coles, WWS, Pharmacy, Post Office, Largest Hong Kong Supermarket and more<br /><br />House: The house has a back garden, at least 2 cars can be parked outside and in the garage, living room with sofa and TV! There are appliances such as rice cooker, kitchenware, pots and pans, and basic seasonings such as salt and sugar. Toilet paper is provided.<br /><br />In addition, our family recently arrived with a new member, a lively cute and sticky puppy. I hope you love it as we do.","Monash"
"Melbourne","Location, Location Location, this 3 bedroom apartments has it all! Only a short distance to Crown Entertainment Complex, Southbank Promenade restaurants and bars, Arts Centre, Federation square, public transport.<br /><br />This open plan 3 bedrooms 2 bathrooms is sure to complete your lifestyle with great amenities in a very central location.","Melbourne"
"Melbourne","Conveniently located at the heart of Melbourne’s renowned dining, shopping and entertainment precincts, this CBD studio offers the best of inner city living as well as the comforts of a king-size bed.<br /><br />After a day spent discovering the nearby sights, head home and open the glass doors to enjoy a wine alfresco as the sun sets, take a soak in the bathtub, or unwind with a movie. Take advantage of the sparkling indoor pool with sun loungers and a fully-equipped gym.","Melbourne"
"Melbourne","Large and beautiful private room for 1 person with everything you need.<br /><br />Make new friends and explore the city from our gorgeous house.<br />Our concept ‘hotel like within a shared environment’ comes with the opportunity to meet new people, form friendships but at the same time have your own space and be comfortable within your private room.<br /><br />We are a big provider of accommodation in Melbourne. Our houses are regularly cleaned and maintained.  All rooms are lockable and safe with everything you need.","Melbourne"
