"city","description","neighbourhood_cleansed"
"NYC","Excellent location -very nice 1 bedroom in the Village. All furnished, including dresser, double bed, and sofa. WiFi. The kitchen is fully equipped and you will find everything you need to feel like home. Peaceful place in a super central location.","Greenwich Village"
"NYC","Keep it simple at this peaceful and centrally-located place.<br />Located near all the main attractions, walking distance to Central Park and time square.","Midtown"
"NYC","Beautiful 1500 square foot place right on 30th and Park Avenue. Close to all the subways and all the attractions. Apartment is very new. Great kitchen and living space with two huge bedrooms and great bathrooms.  For someone to enjoy NYC in very comfortable settings. Doorman + gym in building. Washer drier in unit.","Midtown"
"NYC","Charming 1-bedroom 1-bath in the heart of the Upper East Side.<br />This cozy home offers comfort and convenience. Very close to the Subway with excellent accessibility to the best of NYC.<br />This specious and bright  home will give  you great accommodation during your stay.  Enjoy major shopping, restaurants and moms  & pops shops all with a short walking distance. The apartment is fully equipped with 55"" TV, and high speed internet. <br />10 min to Time Square and Central Park.","Upper East Side"
"NYC","Charming first-floor apartment in the Upper East Side featuring one spacious bedroom with a queenbed and a smaller room with a cozy full bed. Enjoy a cute living room, a functional kitchen, and a clean, modern bathroom. Located in a prime neighborhood just a 15-minute walk to Central Park, with the 72nd Street subway station nearby and plenty of great bars, restaurants, and shops all around.<br />The room reviews are for a previous listing (bedroom in a shared apartment) not this one.","Upper East Side"
"NYC","A private room in a 3-bed loft apt. in the heart of Williamsburg<br />- 1 block from the L train Bedford stop<br />- 1 stop from Manhattan<br />- 3 blocks from McCarren Park<br />- Close to everything in Williamsburg (restaurants, bars, supermarkets, delis, etc.)<br />- Shared laundry room<br />- Huge rooftop with Manhattan views<br />- BBQ<br />- Living room with 6 person dining table<br />- Large couch with bean bag, big-screen TV (55')<br />- Wifi connection<br />- Shared A/C<br />- Rock-climbing wall<br />- In room 49' TV (HBO, Showtime, Netflix, etc.)","Williamsburg"
"NYC","Cozy Upper East Side Apartment","Upper East Side"
"NYC","This unique place has a style all its own. Conveniently located near everything you may need. Apartment is in historic building on a quiet and safe block in the elevator building. Has tons of light, gorgeous city views, fully equipped kitchen. <br />Around the corner from great restaurants, coffee shops, grocery stores. Walk to the world famous Apollo Theater, authentic Jazz clubs, Columbia University, Mt Sinai Hospital and best pizza in town. Enjoy a short walk to Cntrl Park & 15min to midtwn","Harlem"
"NYC","Shabby chic semi handmade minimal artist loft. 550 sq feet (50 sq meters) large private room with bed, couch work tables etc... this is one room within an entire floor shared with seven other people who also live here in their own large rooms, but all share the living room/kitchen and the 2 bathroom. It is a unique hand built live/work loft inside an old factory building with brick walls and vaulted brick ceilings. During the day the room is bright with sunlight.","Bedford-Stuyvesant"
"NYC","Beautiful, cozy, newly constructed studio apartment in Queens Village. Thoughtfully designed with modern finishes, it features a bright, open layout, plenty of natural light, and all the comforts of home. Enjoy a quiet residential neighborhood with easy access to local shops, restaurants, and transportation. Whether you’re working remotely or settling in for an extended stay, this clean, stylish, and convenient space is perfect for you. Book your stay today!","Queens Village"
"NYC","This sanctuary is like a portal of peace. Uniquely and intentionally decorated with love. Not too far from everything but far enough to get away from the hustle and bustle energy of the city. A nice ten minute walk to the trains 3, 4, A and C which can get you just about anywhere.","Crown Heights"
"NYC","You'll have a great time at this comfortable place to stay.","Upper West Side"
"NYC","This is a good size quiet bedroom with a big window and closet. A dimly vibes and clean decor with some green plants will make you enjoy a good rest in the big city. It’s perfect for someone who travel alone to NYC. Central Park and train are just 5 mins away by walking","East Harlem"
"NYC","Small 1bd in Brownstone 3rd floor.  Great light and terrible bird chirping.  Facing the river/off the street.  Full Kitchen, A/C, Wifi and full bath.  Looking for weeks or month long. Must be verified with an actual FB or Linkdin.","Washington Heights"
"NYC","Sunny Williamsburg 2 floor apartment, cozy space with tons of natural light. <br /><br />- 1 bedroom plus separate work area<br />- Private balcony<br />- Good size kitchen with numerous appliances (pots, pans, barista espresso machine, coffee grinder, pour over set up, instapot etc)<br />- Fast wifi included<br />- Part of a building with small gym, elevator, package room<br />- W/D in basement","Williamsburg"
"NYC","Adorable room in Chelsea apartment! Conveniently located on a quiet street in Chelsea, this apartment is close to Chelsea market, the High Line and subway.","Chelsea"
"NYC","Great place to stay. Close to public transportation and tourist attractions.  Close to grocery stores and restaurants.  Air fryer,  microwave & refrigerator. <br />No smoking $200 fine.","Bedford-Stuyvesant"
